dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,limit_source,lat,lon
4.725,339.0,0.43,4.33,70.0,70,osm,48.8668,12.95856
4.75,339.0,0.33,4.34,70.0,70,osm,48.86701,12.95847
4.775,339.0,0.25,8.33,70.0,70,stvo,48.86723,12.95839
4.8,339.0,0.19,13.35,70.0,70,osm,48.86745,12.95832
4.825,339.0,0.13,12.01,70.0,70,osm,48.86767,12.95826
4.85,339.0,0.07,13.73,70.0,70,osm,48.8679,12.95822
4.875,339.1,-0.01,14.29,70.0,70,osm,48.86812,12.95823
4.9,339.2,-0.1,11.47,70.0,70,osm,48.86835,12.95825
4.925,339.2,-0.2,7.27,70.0,70,osm,48.86857,12.95827
4.95,339.3,-0.33,6.63,70.0,70,osm,48.86879,12.95832
4.975,339.3,-0.47,4.91,70.0,70,osm,48.86901,12.95837
5.0,339.1,-0.63,3.96,70.0,70,stvo,48.86924,12.95843
5.025,338.9,-0.79,4.1,70.0,70,stvo,48.86946,12.9585
5.05,338.7,-0.95,2.72,74.9,100,osm,48.86968,12.95856
5.075,338.4,-1.09,2.72,79.5,100,osm,48.8699,12.95863
5.1,338.0,-1.22,2.72,83.9,100,stvo,48.87012,12.95872
5.125,337.6,-1.32,1.38,88.0,100,stvo,48.87033,12.9588
5.15,337.1,-1.4,0.0,88.0,100,stvo,48.87055,12.95888
5.175,336.7,-1.43,0.0,88.0,100,stvo,48.87077,12.95897
5.2,336.3,-1.44,0.0,87.7,100,stvo,48.87099,12.95905
5.225,336.0,-1.42,1.97,81.5,100,stvo,48.87121,12.95913
5.25,335.6,-1.38,5.89,74.9,100,stvo,48.87142,12.95922
5.275,335.3,-1.33,11.53,67.6,70,osm,48.87164,12.9593
5.3,335.0,-1.27,18.97,59.5,70,osm,48.87186,12.9594
5.325,334.6,-1.22,21.11,50.0,50,osm,48.87207,12.95952
5.35,334.4,-1.17,19.52,50.0,50,osm,48.87226,12.95968
5.375,334.1,-1.13,16.48,50.0,50,osm,48.87244,12.95989
5.4,333.8,-1.1,13.65,50.0,50,stvo,48.87262,12.96009
5.425,333.6,-1.07,7.41,50.0,50,osm,48.87281,12.96029
5.45,333.3,-1.02,10.46,50.0,50,stvo,48.87299,12.96049
