dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,limit_source,lat,lon
15.85,681.4,-3.57,6.84,70.0,70,stvo,48.90107,13.09495
15.875,680.5,-3.38,6.14,70.0,70,osm,48.90129,13.09505
15.9,679.7,-3.19,7.37,70.0,70,osm,48.9015,13.09518
15.925,678.9,-3.0,7.37,70.0,70,osm,48.9017,13.09532
15.95,678.1,-2.81,6.01,70.0,70,osm,48.90191,13.09546
15.975,677.4,-2.62,6.11,70.0,70,stvo,48.90211,13.09562
16.0,676.8,-2.44,5.49,70.0,70,osm,48.9023,13.09578
16.025,676.2,-2.26,3.1,74.9,100,osm,48.9025,13.09595
16.05,675.6,-2.07,3.1,70.0,70,stvo,48.90269,13.09613
16.075,675.1,-1.86,2.18,70.0,70,stvo,48.90288,13.09631
16.1,674.7,-1.67,1.19,70.0,70,osm,48.90308,13.09649
16.125,674.3,-1.49,1.19,70.0,70,osm,48.90327,13.09666
16.15,674.0,-1.33,1.25,70.0,70,osm,48.90346,13.09684
16.175,673.8,-1.19,1.25,74.9,100,stvo,48.90366,13.09701
16.2,673.5,-1.06,0.34,79.5,100,stvo,48.90385,13.09718
16.225,673.3,-1.0,1.11,77.1,100,stvo,48.90405,13.09735
16.25,673.1,-1.0,4.06,70.0,70,osm,48.90424,13.09752
16.275,672.9,-1.08,5.4,70.0,70,osm,48.90443,13.09769
16.3,672.8,-1.23,7.17,70.0,70,osm,48.90463,13.09787
16.325,672.6,-1.47,11.63,70.0,70,osm,48.90481,13.09807
16.35,672.4,-1.79,13.39,70.0,70,stvo,48.90499,13.09827
16.375,672.1,-2.18,13.47,70.0,70,osm,48.90517,13.09848
16.4,671.7,-2.62,15.27,70.0,70,osm,48.90533,13.09873
16.425,671.1,-3.12,16.76,70.0,70,stvo,48.90548,13.09898
16.45,670.3,-3.66,15.92,70.0,70,osm,48.90562,13.09925
16.475,669.3,-4.24,15.06,70.0,70,osm,48.90574,13.09953
16.5,668.2,-4.86,15.8,70.0,70,osm,48.90585,13.09983
16.525,666.8,-5.47,15.94,74.9,100,osm,48.90595,13.10014
16.55,665.3,-6.05,14.42,79.5,100,osm,48.90604,13.10045
