dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,limit_source,lat,lon
9.2,493.0,0.76,0.26,88.0,100,stvo,48.90158,12.9789
9.225,493.1,0.32,0.09,88.0,100,stvo,48.9018,12.97883
9.25,493.1,-0.1,0.06,88.0,100,stvo,48.90202,12.97875
9.275,493.1,-0.45,0.16,88.0,100,stvo,48.90224,12.97868
9.3,492.9,-0.72,0.16,88.0,100,osm,48.90246,12.9786
9.325,492.7,-0.93,0.43,88.0,100,osm,48.90268,12.97853
9.35,492.3,-1.1,0.94,88.0,100,stvo,48.9029,12.97846
9.375,491.9,-1.24,0.88,88.0,100,osm,48.90312,12.97838
9.4,491.4,-1.35,1.08,88.0,100,osm,48.90334,12.97831
9.425,490.9,-1.42,2.45,88.0,100,stvo,48.90356,12.97823
9.45,490.5,-1.42,2.18,88.0,100,osm,48.90378,12.97814
9.475,490.1,-1.34,1.67,88.0,100,osm,48.904,12.97807
9.5,489.7,-1.2,1.67,88.0,100,osm,48.90422,12.978
9.525,489.4,-1.01,1.37,88.0,100,stvo,48.90444,12.97793
9.55,489.1,-0.78,0.07,88.0,100,stvo,48.90466,12.97786
9.575,488.8,-0.55,3.45,88.0,100,stvo,48.90488,12.97779
9.6,488.7,-0.34,3.45,88.0,100,osm,48.9051,12.97773
9.625,488.6,-0.17,3.45,88.0,100,osm,48.90532,12.97766
9.65,488.7,-0.02,5.16,88.0,100,osm,48.90554,12.97762
9.675,488.9,0.09,6.63,88.0,100,stvo,48.90576,12.97757
9.7,489.1,0.19,3.43,88.0,100,osm,48.90599,12.97753
9.725,489.3,0.27,4.5,88.0,100,osm,48.90621,12.9775
9.75,489.5,0.31,5.71,88.0,100,osm,48.90644,12.97748
9.775,489.6,0.31,4.49,88.0,100,osm,48.90666,12.97747
9.8,489.7,0.28,3.78,88.0,100,osm,48.90689,12.97746
9.825,489.7,0.22,4.58,88.0,100,osm,48.90711,12.97746
9.85,489.6,0.15,3.84,88.0,100,osm,48.90734,12.97746
9.875,489.6,0.08,4.29,88.0,100,osm,48.90756,12.97747
9.9,489.6,0.01,5.91,88.0,100,osm,48.90778,12.97749
9.925,489.6,-0.04,5.51,88.0,100,osm,48.90801,12.97751
9.95,489.6,-0.07,5.46,88.0,100,osm,48.90823,12.97754
9.975,489.6,-0.08,6.05,88.0,100,osm,48.90846,12.97759
10.0,489.5,-0.08,4.51,88.0,100,osm,48.90868,12.97764
10.025,489.5,-0.07,4.03,88.0,100,osm,48.9089,12.97769
10.05,489.5,-0.06,5.2,88.0,100,osm,48.90912,12.97776
10.075,489.5,-0.05,4.77,88.0,100,osm,48.90934,12.97782
10.1,489.5,-0.03,4.65,88.0,100,osm,48.90956,12.9779
10.125,489.4,-0.0,5.64,88.0,100,osm,48.90978,12.97799
10.15,489.4,0.05,4.02,88.0,100,osm,48.90999,12.97808
10.175,489.4,0.13,2.42,88.0,100,osm,48.91021,12.97818
10.2,489.4,0.24,1.92,88.0,100,stvo,48.91042,12.97828
10.225,489.4,0.39,1.11,88.0,100,stvo,48.91064,12.97839
10.25,489.5,0.57,0.04,88.0,100,stvo,48.91085,12.9785
10.275,489.6,0.8,0.24,88.0,100,stvo,48.91106,12.9786
10.3,489.7,1.02,0.24,88.0,100,osm,48.91128,12.97871
10.325,489.9,1.23,0.24,88.0,100,osm,48.91149,12.97881
10.35,490.2,1.42,0.24,88.0,100,osm,48.91171,12.97892
10.375,490.7,1.59,0.2,88.0,100,stvo,48.91192,12.97902
10.4,491.2,1.72,0.0,88.0,100,stvo,48.91213,12.97913
10.425,491.8,1.84,0.49,88.0,100,stvo,48.91235,12.97923
10.45,492.5,1.92,0.61,88.0,100,osm,48.91256,12.97934
10.475,493.1,1.98,0.61,88.0,100,osm,48.91278,12.97944
10.5,493.7,2.02,0.61,88.0,100,osm,48.91299,12.97954
10.525,494.2,2.04,0.61,88.0,100,stvo,48.91321,12.97964
10.55,494.6,2.05,0.57,88.0,100,stvo,48.91342,12.97974
10.575,495.1,2.06,0.49,88.0,100,osm,48.91364,12.97984
10.6,495.5,2.11,0.49,88.0,100,osm,48.91385,12.97994
10.625,495.9,2.18,3.92,88.0,100,osm,48.91407,12.98004
10.65,496.3,2.26,6.17,88.0,100,stvo,48.91428,12.98013
10.675,496.8,2.37,5.71,88.0,100,osm,48.9145,12.98023
10.7,497.3,2.5,7.01,88.0,100,osm,48.91472,12.9803
10.725,498.0,2.64,8.07,88.0,100,stvo,48.91494,12.98036
10.75,498.8,2.74,5.45,88.0,100,osm,48.91516,12.98041
10.775,499.6,2.81,4.33,88.0,100,osm,48.91538,12.98046
10.8,500.5,2.82,5.28,88.0,100,osm,48.91561,12.98049
